Camera, Image File Name, Description,Image Location - Easting Coordinate*,Image Location - Northing Coordinate*,URL,,,,,
H106F, H106F.JPG, Connaught Road Central near Exchange Square,834060,816365,http://tdcctv.data.one.gov.hk/H106F.JPG,"22.445856169, 113.983522104",22.445856169,113.983522104,114.1554486,22.28617506
H107F, H107F.JPG, Pedder Street,834251,815825,http://tdcctv.data.one.gov.hk/H107F.JPG,"22.447574608, 113.978273717",22.447574608,113.978273717,114.1573027,22.28129876
H108F, H108F.JPG, Queen's Road Central near Ice House Street,834307,815670,http://tdcctv.data.one.gov.hk/H108F.JPG,"22.448078450, 113.976767197",22.448078450,113.976767197,114.1578463,22.27989907
H109F, H109F.JPG, Queen's Road Central near Garden Road,834701,815639,http://tdcctv.data.one.gov.hk/H109F.JPG,"22.451636052, 113.976460925",22.451636052,113.976460925,114.1616694,22.27961952
H110F, H110F.JPG, Connaught Road Central near Shun Tak Centre,833974,816414,http://tdcctv.data.one.gov.hk/H110F.JPG,"22.445080124, 113.983999197",22.445080124,113.983999197,114.1546141,22.28661745
H130F, H130F.JPG, Pok Fu Lam Road near Pokfield Road,831648,815857,http://tdcctv.data.one.gov.hk/H130F.JPG,"22.424068833, 113.978617982",22.424068833,113.978617982,114.1320448,22.28158273
H132F2, H132F2.JPG, Pok Fu Lam Road near Smithfield Road,831530,815440,http://tdcctv.data.one.gov.hk/H132F2.JPG,"22.422998222, 113.974569134",22.422998222,113.974569134,114.1309011,22.27781664
H138F, H138F.JPG, Cotton Tree Drive near Murray Building,834462,815412,http://tdcctv.data.one.gov.hk/H138F.JPG,"22.449475035, 113.974258736",22.449475035,113.974258736,114.1593506,22.27756934
H201F, H201F.JPG, Hennessy Road near Arsenal Street,835400,815422,http://tdcctv.data.one.gov.hk/H201F.JPG,"22.457945661, 113.974343584",22.457945661,113.974343584,114.1684521,22.27766037
H203F, H203F.JPG, Yee Wo Street near Hennessy Road,837091,815679,http://tdcctv.data.one.gov.hk/H203F.JPG,"22.473219140, 113.976818556",22.473219140,113.976818556,114.1848601,22.27998126
H204F, H204F.JPG, Fleming Road near Harbour Road,836013,815756,http://tdcctv.data.one.gov.hk/H204F.JPG,"22.463485324, 113.977580656",22.463485324,113.977580656,114.1744,22.2806768
H207F, H207F.JPG, Cross Harbour Tunnel Hong Kong Side,836809,815849,http://tdcctv.data.one.gov.hk/H207F.JPG,"22.470674616, 113.978474003",22.470674616,113.978474003,114.1821239,22.28151658
H209F, H209F.JPG, Queen's Road East near Stubbs Road,836391,815128,http://tdcctv.data.one.gov.hk/H209F.JPG,"22.466891154, 113.971474033",22.466891154,113.971474033,114.1780678,22.27500557
H210F, H210F.JPG, Aberdeen Tunnel - Wan Chai Side,836502,815130,http://tdcctv.data.one.gov.hk/H210F.JPG,"22.467893549, 113.971491989",22.467893549,113.971491989,114.1791448,22.27502362
H214F, H214F.JPG, Harcourt Road near Red Cross Headquarter,835893,815674,http://tdcctv.data.one.gov.hk/H214F.JPG,"22.462400693, 113.976785507",22.462400693,113.976785507,114.166848,22.279716
H215F, H215F.JPG, Gloucester Road near Wan Chai Interchange,836636,815850,http://tdcctv.data.one.gov.hk/H215F.JPG,"22.469112374, 113.978485944",22.469112374,113.978485944,114.1804452,22.28152566
H216F, H216F.JPG, Canal Road Flyover near Time Square,836711,815628,http://tdcctv.data.one.gov.hk/H216F.JPG,"22.469786985, 113.976327949",22.469786985,113.976327949,114.1811729,22.27952084
H222F, H222F.JPG, Gloucester Road near Sun Hung Kai Center,836118,815632,http://tdcctv.data.one.gov.hk/H222F.JPG,"22.464432021, 113.976374519",22.464432021,113.976374519,114.1754189,22.27955701
H305F, H305F.JPG, Causeway Road near Hing Fat Street,837753,815881,http://tdcctv.data.one.gov.hk/H305F.JPG,"22.479199664, 113.978772806",22.479199664,113.978772806,114.1912839,22.281805
H307F, H307F.JPG, King's Road near Tin Chong Street,838176,816841,http://tdcctv.data.one.gov.hk/H307F.JPG,"22.483030698, 113.988095961",22.483030698,113.988095961,114.1953895,22.29047399
H401F, H401F.JPG, Wong Chuk Hang Road near Aberdeen Tunnel,835637,812448,http://tdcctv.data.one.gov.hk/H401F.JPG,"22.460047009, 113.945446091",22.460047009,113.945446091,114.1707529,22.2508033
H422F1, H422F1.JPG, Wong Chuk Hang Road near Aberdeen Technical School,834650,812183,http://tdcctv.data.one.gov.hk/H422F1.JPG,"22.451130325, 113.942886400",22.451130325,113.942886400,114.161178,22.24840953
H422F2, H422F2.JPG, Ap Lei Chau Bridge Road near Aberdeen Police Station,834633,812095,http://tdcctv.data.one.gov.hk/H422F2.JPG,"22.450975567, 113.942031736",22.450975567,113.942031736,114.1610132,22.24761482
