Camera, Image File Name, Description, Image Location - Easting Coordinate* Image Location - Northing Coordinate* URL
H106F, H106F.JPG, Connaught Road Central near Exchange Square, 834060 816365 http://tdcctv.data.one.gov.hk/H106F.JPG
H107F, H107F.JPG, Pedder Street, 834251 815825 http://tdcctv.data.one.gov.hk/H107F.JPG
H108F, H108F.JPG, Queen's Road Central near Ice House Street, 834307 815670 http://tdcctv.data.one.gov.hk/H108F.JPG
H109F, H109F.JPG, Queen's Road Central near Garden Road, 834701 815639 http://tdcctv.data.one.gov.hk/H109F.JPG
H110F, H110F.JPG, Connaught Road Central near Shun Tak Centre, 833974 816414 http://tdcctv.data.one.gov.hk/H110F.JPG
H130F, H130F.JPG, Pok Fu Lam Road near Pokfield Road, 831648 815857 http://tdcctv.data.one.gov.hk/H130F.JPG
H132F2, H132F2.JPG, Pok Fu Lam Road near Smithfield Road, 831530 815440 http://tdcctv.data.one.gov.hk/H132F2.JPG
H138F, H138F.JPG, Cotton Tree Drive near Murray Building, 834462 815412 http://tdcctv.data.one.gov.hk/H138F.JPG
H201F, H201F.JPG, Hennessy Road near Arsenal Street, 835400 815422 http://tdcctv.data.one.gov.hk/H201F.JPG
H203F, H203F.JPG, Yee Wo Street near Hennessy Road, 837091 815679 http://tdcctv.data.one.gov.hk/H203F.JPG
H204F, H204F.JPG, Fleming Road near Harbour Road, 836013 815756 http://tdcctv.data.one.gov.hk/H204F.JPG
H207F, H207F.JPG, Cross Harbour Tunnel Hong Kong Side, 836809 815849 http://tdcctv.data.one.gov.hk/H207F.JPG
H209F, H209F.JPG, Queen's Road East near Stubbs Road, 836391 815128 http://tdcctv.data.one.gov.hk/H209F.JPG
H210F, H210F.JPG, Aberdeen Tunnel - Wan Chai Side, 836502 815130 http://tdcctv.data.one.gov.hk/H210F.JPG
H214F, H214F.JPG, Harcourt Road near Red Cross Headquarter, 835893 815674 http://tdcctv.data.one.gov.hk/H214F.JPG
H215F, H215F.JPG, Gloucester Road near Wan Chai Interchange, 836636 815850 http://tdcctv.data.one.gov.hk/H215F.JPG
H216F, H216F.JPG, Canal Road Flyover near Time Square, 836711 815628 http://tdcctv.data.one.gov.hk/H216F.JPG
H222F, H222F.JPG, Gloucester Road near Sun Hung Kai Center, 836118 815632 http://tdcctv.data.one.gov.hk/H222F.JPG
H305F, H305F.JPG, Causeway Road near Hing Fat Street, 837753 815881 http://tdcctv.data.one.gov.hk/H305F.JPG
H307F, H307F.JPG, King's Road near Tin Chong Street, 838176 816841 http://tdcctv.data.one.gov.hk/H307F.JPG
H401F, H401F.JPG, Wong Chuk Hang Road near Aberdeen Tunnel, 835637 812448 http://tdcctv.data.one.gov.hk/H401F.JPG
H422F1, H422F1.JPG, Wong Chuk Hang Road near Aberdeen Technical School, 834650 812183 http://tdcctv.data.one.gov.hk/H422F1.JPG
H422F2, H422F2.JPG, Ap Lei Chau Bridge Road near Aberdeen Police Station, 834633 812095 http://tdcctv.data.one.gov.hk/H422F2.JPG
H429F, H429F.JPG, Aberdeen Praya Road near Fish Market, 833545 812189 http://tdcctv.data.one.gov.hk/H429F.JPG
H801F, H801F.JPG, Island Eastern Corridor near Ka Wah Centre, 839132 817250 http://tdcctv.data.one.gov.hk/H801F.JPG
H802F, H802F.JPG, Island Eastern Corridor near Hoi Yu Street, 839855 816912 http://tdcctv.data.one.gov.hk/H802F.JPG
H803F, H803F.JPG, Island Eastern Corridor near Quarry Bay Park, 840787 816596 http://tdcctv.data.one.gov.hk/H803F.JPG
H903F, H903F.JPG, Morrison Hill Road near Sports Road, 836673 815230 http://tdcctv.data.one.gov.hk/H903F.JPG
H904F, H904F.JPG, Canal Road Flyover near Gloucester Road, 836679 815711 http://tdcctv.data.one.gov.hk/H904F.JPG
TC551F, TC551F.JPG, Kap Shui Mun Bridge, 823592 822667 http://tdcctv.data.one.gov.hk/TC551F.JPG
TC573F, TC573F.JPG, Lantau Link near Toll Plaza, 822215 822108 http://tdcctv.data.one.gov.hk/TC573F.JPG
SM933F, SM933F.JPG, Shing Mun Tunnel Road, 837023 826509 http://tdcctv.data.one.gov.hk/SM933F.JPG
SM934F, SM934F.JPG, Shing Mun Tunnel Shatin Side, 835189 826867 http://tdcctv.data.one.gov.hk/SM934F.JPG
ST106F, ST106F.JPG, Sha Tin Wai Road/Sha Lek Highway Slip Road, 838649 826523 http://tdcctv.data.one.gov.hk/ST106F.JPG
ST109F, ST109F.JPG, Tai Chung Kiu Road near Ravana Garden, 839016 827761 http://tdcctv.data.one.gov.hk/ST109F.JPG
ST112F, ST112F.JPG, Mei Tin Rd nr Che Kung Miu Rd Rbt, 836584 825780 http://tdcctv.data.one.gov.hk/ST112F.JPG
ST114F, ST114F.JPG, Tai Po Road - Shatin Section, 837674 827277 http://tdcctv.data.one.gov.hk/ST114F.JPG
ST115F, ST115F.JPG, Fo Tan Road, 838338 827859 http://tdcctv.data.one.gov.hk/ST115F.JPG
ST117F, ST117F.JPG, Sai Sha Road near Ma On Shan Sports Ground, 841439 831310 http://tdcctv.data.one.gov.hk/ST117F.JPG
ST119F, ST119F.JPG, Sai Sha Road/Kam Ying Road, 842843 831980 http://tdcctv.data.one.gov.hk/ST119F.JPG
TH101F, TH101F.JPG, Tolo Highway near Ma Liu Shui Interchange, 839951 830304 http://tdcctv.data.one.gov.hk/TH101F.JPG
TH110F, TH110F.JPG, Tolo Highway near HK Science Park, 838284 833227 http://tdcctv.data.one.gov.hk/TH110F.JPG
TH114F, TH114F.JPG, Tolo Highway near Island House Interchange, 836304 833974 http://tdcctv.data.one.gov.hk/TH114F.JPG
RT115F, RT115F.JPG, Lung Mun Road near Wu Chui Road, 813942 826353 http://tdcctv.data.one.gov.hk/RT115F.JPG
RT116F, RT116F.JPG, Wong Chu Road near Lung Mun Road, 814689 827701 http://tdcctv.data.one.gov.hk/RT116F.JPG
TC604F, TC604F.JPG, Ting Kau Bridge, 826493 824541 http://tdcctv.data.one.gov.hk/TC604F.JPG
TC612F, TC612F.JPG, Tuen Mun Road to Ting Kau Bridge, 825761 825704 http://tdcctv.data.one.gov.hk/TC612F.JPG
TR101F, TR101F.JPG, Tuen Mun Road - Chai Wan Kok, 828593 826093 http://tdcctv.data.one.gov.hk/TR101F.JPG
TR105F, TR105F.JPG, Tuen Mun Road - Ting Kau Section, 826026 825793 http://tdcctv.data.one.gov.hk/TR105F.JPG
TR108F, TR108F.JPG, Tuen Mun Road - Sham Tseng Interchange, 824330 825576 http://tdcctv.data.one.gov.hk/TR108F.JPG
TR114F, TR114F.JPG, Tuen Mun Road - Tai Lam Kok Section, 820053 824313 http://tdcctv.data.one.gov.hk/TR114F.JPG
TR119F, TR119F.JPG, Tuen Mun Road - Sam Shing Hui, 816113 827041 http://tdcctv.data.one.gov.hk/TR119F.JPG
TC104F, TC104F.JPG, Tsing Kwai Highway Near Container Port 4, 831612 822223 http://tdcctv.data.one.gov.hk/TC104F.JPG
BC101F, BC101F.JPG, San Tin Highway near Fairview Park, 823794 837083 http://tdcctv.data.one.gov.hk/BC101F.JPG
BC102F, BC102F.JPG, San Tin Highway near Mai Po, 824754 839245 http://tdcctv.data.one.gov.hk/BC102F.JPG
BC103F, BC103F.JPG, San Sham Road Roundabout, 826465 840287 http://tdcctv.data.one.gov.hk/BC103F.JPG
FH104F, FH104F.JPG, Fanling Highway near Kwu Tung, 827827 840497 http://tdcctv.data.one.gov.hk/FH104F.JPG
FH106F, FH106F.JPG, Fanling Highway near Sheung Shui Roundabout, 830869 840072 http://tdcctv.data.one.gov.hk/FH106F.JPG
FH107F, FH107F.JPG, Fanling Highway near Pak Wo Road, 831274 839862 http://tdcctv.data.one.gov.hk/FH107F.JPG
NH101F, NH101F.JPG, Jockey Club Road near Fanling Highway, 833149 838713 http://tdcctv.data.one.gov.hk/NH101F.JPG
NH109F, NH109F.JPG, Jockey Club Road near Ma Sik Road, 831857 840099 http://tdcctv.data.one.gov.hk/NH109F.JPG
NH113F, NH113F.JPG, San Wan Road near Lung Sum Avenue, 831083 840385 http://tdcctv.data.one.gov.hk/NH113F.JPG
NH115F, NH115F.JPG, Sha Tau Kok Road near Ma Sik Road, 833194 840146 http://tdcctv.data.one.gov.hk/NH115F.JPG
TP102F, TP102F.JPG, Yuen Shin Road near Ting Kok Road, 836303 835283 http://tdcctv.data.one.gov.hk/TP102F.JPG
TP105F, TP105F.JPG, Tai Po Tai Wo Road near Nam Wan Road, 835765 834669 http://tdcctv.data.one.gov.hk/TP105F.JPG
TP112F, TP112F.JPG, Tai Po Tai Wo Road near Tai Po Road- Tai Wo, 834416 834785 http://tdcctv.data.one.gov.hk/TP112F.JPG
